ExptName,Date,SubjectNumber,Block,Condition,Trial Info,SubjectResp,Status,RT,SymRespCount,TxtRespCount,IncorrRespCount
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,1,Con_Sym_Heart_Txt_Heart,2,1,839,0,0,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,1,Con_Txt_Spade_Sym_Spade,3,1,2120,0,0,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,1,Con_Sym_Club_Txt_Club,1,1,626,0,0,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,1,Con_Txt_Spade_Sym_Spade,3,1,776,0,0,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,1,Con_Txt_Spade_Sym_Spade,3,1,599,0,0,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,1,Con_Txt_Heart_Sym_Heart,2,1,658,0,0,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,2,Incon_Txt_Heart_Sym_Spade,2,2,508,0,1,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,1,Con_Sym_Club_Txt_Club,1,1,626,0,1,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,1,Con_Sym_Spade_Txt_Spade,3,1,628,0,1,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,1,Con_Txt_Heart_Sym_Heart,2,1,848,0,1,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,1,Con_Sym_Spade_Txt_Spade,3,1,661,0,1,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,2,Incon_Sym_Club_Txt_Heart,2,2,427,0,2,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,1,Con_Sym_Spade_Txt_Spade,3,1,649,0,2,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,1,Con_Txt_Spade_Sym_Spade,1,2,906,0,2,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,1,Con_Txt_Heart_Sym_Heart,2,1,1077,0,2,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,2,Incon_Txt_Spade_Sym_Club,3,2,2820,0,3,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,1,Con_Txt_Club_Sym_Club,1,1,708,0,3,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,1,Con_Txt_Heart_Sym_Heart,2,1,356,0,3,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,2,Incon_Txt_Club_Sum_Heart,1,2,1252,0,4,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,1,Con_Sym_Spade_Txt_Spade,3,1,621,0,4,0
WebTask_CardSort_v2,2023-01-31-1745,93f8eaf0,CardSort_Block1,1,Con_Sym_Heart_Txt_Heart,2,1,585,0,4,0
