SymRespCount,TxtRespCount,IncorrRespCount,Subject,IRQ_visual,IRQ_verbal,IRQ_visual_code,IRQ_verbal_code,VerbalBiasScore
5,38,5,1629,3.166666667,2.714285714,2,3,0.76744186
42,4,2,1624,3.583333333,3.928571429,2,3,-0.826086957
27,12,9,1612,4.25,4.142857143,3.5,3,-0.384615385
0,46,2,1630,3.666666667,4.642857143,4,4,1
3,45,0,1634,2.916666667,3.857142857,3,3,0.875
1,46,1,1657,3.333333333,3.642857143,3,3,0.957446809
43,4,1,1623,3.75,4.142857143,3,3.5,-0.829787234
2,44,2,1645,4,3.714285714,3.5,4,0.913043478
19,27,2,1611,3.416666667,3.428571429,3.5,3.5,0.173913043
0,47,1,1631,4.75,4.571428571,4,4.5,1
1,47,0,1651,3.916666667,3.071428571,4,4,0.958333333
42,6,0,1613,3.5,2.857142857,4,3,-0.75
25,23,0,1637,3.916666667,3.285714286,2.5,3.5,-0.041666667
45,3,0,1627,3.5,3.571428571,2.5,4,-0.875
5,38,5,1636,2.916666667,3.142857143,2,4.5,0.76744186
13,33,2,1618,4.333333333,4.357142857,5,5,0.434782609
1,46,1,1648,4.083333333,2.714285714,4.5,2.5,0.957446809
41,2,5,1646,3.583333333,2.857142857,3,3.5,-0.906976744
2,39,7,1625,3.25,3.785714286,1.5,3.5,0.902439024
3,45,0,1621,3.166666667,3.357142857,1.5,4.5,0.875
42,4,2,1655,3.5,4.214285714,3,3,-0.826086957
2,45,1,1656,3.166666667,3.928571429,3,4,0.914893617
4,43,1,1644,3.833333333,3.857142857,4,3.5,0.829787234
2,45,1,1635,3.583333333,3.571428571,2,3,0.914893617
35,10,3,1641,3.583333333,3.785714286,4,3.5,-0.555555556
0,48,0,1632,2.916666667,3.357142857,2,2,1
46,1,1,1649,3.916666667,3.214285714,4,2,-0.957446809
7,35,6,1653,2.666666667,3.214285714,2,2,0.666666667
45,0,3,1638,1.833333333,4.357142857,1.5,4,-1
0,48,0,1640,3.5,3.142857143,2.5,2,1
45,3,0,1652,3.583333333,3.857142857,3.5,4,-0.875
0,47,1,1616,2.166666667,2.928571429,2.5,2,1
34,13,1,1633,3.5,3.642857143,3,3,-0.446808511
46,2,0,1615,4.5,2.785714286,3.5,2.5,-0.916666667
39,7,2,1620,4.166666667,4.071428571,3,3,-0.695652174
2,46,0,1626,3.833333333,3.785714286,3.5,4,0.916666667
6,38,4,1619,3.333333333,3.571428571,2.5,3,0.727272727
12,35,1,1654,3.416666667,2.642857143,2.5,2,0.489361702
40,6,2,1647,4,3.857142857,4,3,-0.739130435
1,47,0,1658,3.416666667,3.642857143,2,4.5,0.958333333
1,46,1,1628,3.416666667,3.071428571,2,3,0.957446809
3,45,0,1642,3.083333333,3.928571429,2.5,4.5,0.875
3,43,2,1650,3.666666667,3.785714286,3.5,3,0.869565217
26,18,4,1614,4.333333333,4.428571429,4,4,-0.181818182
2,45,1,1610,4.583333333,4.357142857,4.5,4.5,0.914893617
42,6,0,1622,3.416666667,3.785714286,3.5,2.5,-0.75
32,14,2,1617,2.833333333,3.428571429,3,1,-0.391304348
3,45,0,1639,4,3.428571429,4,4,0.875
43,5,0,1643,4.083333333,2.928571429,4,3,-0.791666667
