Subject,Age,Sex,IncorRespCount,SymRespCount,TxtRespCount,BiasScore,Con_RT,InCon_RT,Incon-ConRT
0156ce12,51,2,0,9,39,0.625,878.3541667,1014.1875,135.8333333
054ba968,87,2,0,20,28,0.166666667,1192.791667,1273.8125,81.02083333
05546b7f,60,2,5,12,31,0.441860465,1122.930556,1194.458333,71.52777778
08f746fa,38,2,2,39,7,-0.695652174,1013.826389,1029.770833,15.94444444
0aef8687,63,2,8,8,32,0.6,990.1875,988.1875,-2
0b2a2504,34,2,4,17,27,0.227272727,1066.361111,1098.375,32.01388889
0b482cbe,36,2,1,44,3,-0.872340426,829.4027778,954.7916667,125.3888889
0bf6b839,54,2,0,45,3,-0.875,647.625,728.75,81.125
0ccd33c5,54,2,0,14,34,0.416666667,1119.520833,1274.375,154.8541667
0cf98284,45,2,1,11,36,0.531914894,847.7083333,913.3541667,65.64583333
0ebb6dab,80,2,0,1,47,0.958333333,860.7291667,871.4375,10.70833333
107f8d3e,29,2,0,45,3,-0.875,621.0694444,710.6041667,89.53472222
117d6806,22,2,3,41,4,-0.822222222,579.7847222,605.9583333,26.17361111
14165170,83,3,3,1,44,0.955555556,1056.611111,1070.5,13.88888889
16f9e2af,51,2,0,1,47,0.958333333,702.0416667,698.2291667,-3.8125
17d323d9,46,2,15,17,16,-0.03030303,893.2222222,872.2083333,-21.01388889
188a146f,34,2,3,3,42,0.866666667,744.6597222,791.7083333,47.04861111
1aa15bd9,25,2,1,0,47,1,705.4097222,646.8541667,-58.55555556
1c4f7ffb,44,1,2,38,8,-0.652173913,948.7777778,1282.875,334.0972222
1d937134,34,2,1,45,2,-0.914893617,1126,1313.375,187.375
1ea6c7bb,32,1,0,4,44,0.833333333,732.3611111,690.7708333,-41.59027778
2078bec9,10,2,2,42,4,-0.826086957,837.9791667,849.5625,11.58333333
214a186c,54,2,1,25,22,-0.063829787,895.5972222,927.4375,31.84027778
2485948d,51,2,1,44,3,-0.872340426,1088.805556,1229.020833,140.2152778
24d99a95,39,2,1,40,7,-0.70212766,1040.548611,1117.375,76.82638889
2589c6ec,36,2,2,1,45,0.956521739,542.7569444,537.4166667,-5.340277778
2887f859,36,2,1,35,12,-0.489361702,1136.263889,1393.708333,257.4444444
28a198fb,15,2,0,0,48,1,738.5,735.3333333,-3.166666667
2958c25f,36,2,0,18,30,0.25,883.0625,1100.833333,217.7708333
297c34a5,44,2,2,41,5,-0.782608696,977.7152778,1139.270833,161.5555556
2a91a3cc,60,1,1,46,1,-0.957446809,1106.527778,1143.916667,37.38888889
2c32d3f4,62,1,1,17,30,0.276595745,1091.770833,1185.083333,93.3125
2dc7132a,38,2,0,12,36,0.5,1068.6875,1257.8125,189.125
2e5e60b7,33,2,1,2,45,0.914893617,807.9236111,817.2708333,9.347222222
2ee97ea7,29,1,0,45,3,-0.875,912.3333333,1066.916667,154.5833333
30d40fe2,26,1,3,44,1,-0.955555556,829.2291667,894.3125,65.08333333
32308591,35,2,0,34,14,-0.416666667,794.5902778,846.1875,51.59722222
32813fd0,60,1,1,3,44,0.872340426,904.7777778,838.1666667,-66.61111111
335d619c,25,2,2,20,26,0.130434783,722.9027778,732.1875,9.284722222
3456c8ae,35,4,1,1,46,0.957446809,673.9722222,665.7083333,-8.263888889
36345909,23,2,0,1,47,0.958333333,623.0763889,612.8125,-10.26388889
3661b157,40,1,1,2,45,0.914893617,862.1388889,853.4583333,-8.680555556
3b118efc,42,2,1,0,47,1,765.3055556,752.3958333,-12.90972222
3b79c957,37,2,2,38,8,-0.652173913,820.5555556,884.9583333,64.40277778
3e459806,40,2,0,0,48,1,778.8819444,800.9166667,22.03472222
3e83a772,30,2,3,44,1,-0.955555556,603.7777778,629.3958333,25.61805556
400eed91,21,2,0,3,45,0.875,529.0763889,528.2916667,-0.784722222
42bd8614,50,1,1,4,43,0.829787234,1006.243056,944.1458333,-62.09722222
431d20df,45,2,0,43,5,-0.791666667,741.0694444,923.5625,182.4930556
450af0e8,27,2,0,37,11,-0.541666667,745.6944444,859.75,114.0555556
46db6023,22,1,3,41,4,-0.822222222,742.4305556,856.2083333,113.7777778
4845278d,41,1,16,17,15,-0.0625,937.1180556,1015.770833,78.65277778
4db4c716,30,2,1,8,39,0.659574468,906.2291667,939.9166667,33.6875
4ea7e33e,45,2,1,34,13,-0.446808511,775.1319444,920,144.8680556
513c6adf,27,1,1,2,45,0.914893617,764.0694444,831.8333333,67.76388889
53124fc7,31,2,0,6,42,0.75,1019.270833,1119.854167,100.5833333
53afc254,20,1,1,40,7,-0.70212766,899.9583333,897.1875,-2.770833333
549e2bf3,23,2,1,2,45,0.914893617,658.1666667,616.8541667,-41.3125
54d4291b,41,2,1,44,3,-0.872340426,1036.208333,1138.958333,102.75
5701e616,64,2,14,12,22,0.294117647,1309.020833,1297,-12.02083333
